content,times,title
"月,日,山东女子学院团委与长清区孝里镇党委联合开展,美丽乡村建设,志愿服务活动,山东女子学院艺术学院负责人,孝里镇政协负责人及山东女子学院部分辅导员,专业教师和大学生志愿者在孝里镇刘营村举行了活动启动仪式,山东女子学院团委与孝里镇党委联合,在山东女子学院招募了,名专业技能优秀,责任心强的艺术设计专业学生组建了,送艺术下乡志愿者服务队,服务队由辅导员带队,专业教师做指导,利用课余时间和节假日,深入孝里镇刘营村等,为乡村设计以感恩,忠孝文化为主要内容的乡村画廊彩绘,此次志愿者服务活动,是山东女子学院积极响应十八大提出的,建设美丽乡村,的号召,发挥高校服务社会功能的具体行动,该活动既锻炼了大学生的专业技能,也起到了传播时代风尚,弘扬社会主义核心价值观的良好效果,受到了当地村民的热烈欢迎,志愿者们在设计绘画的过程中,村民们在欣赏图文中的过程中,均受到了潜移默化的教育,原文地址","9,May",[新浪]山东女子学院开展“建设美丽乡村”活动
"年,月,日,上午,艺术设计学院在博雅楼,召开了党政联席会,会议由院长张利主持,会议纪要如下,一,关于文化艺术节活动事宜,会议听取了院长张利关于学校文化艺术节事项安排,按照学校要求,我校文化艺术节即将开幕,由我院承办的项目有优雅旗袍秀,美甲,教职工职业造型讲座,陶艺体验,手工配饰设计与制作等,经研究决定,学院全力配合学校活动,展现学院特色和教师风采,开幕式由我院负责邀请专家,费用由学校统一支出,二,关于丝网印实验室耗材申请事宜,会议听取了院长助理赵月关于丝网印刷耗材申请事宜,丝网印刷耗材已经使用完毕,为满足后续课程使用申请购买网布,脱膜粉等共计,元,经研究决定,丝网印刷设备除上课正常使用外,还要负责毕业设计作品的印刷制作,创新创业团队的使用,同意购买耗材,经费从实验实训经费中支出,三,关于购买学生合唱比赛服装事宜,会议听取了党总支书记于学江购买学生合唱比赛队服事宜,共,套,每套约,元,共计,元,经研究决定,同意购买比赛服装,经费从学生经费中支出,出席,党总支书记于学江,院长张利,院长助理赵月,办公室主任汪健,山东女子学院艺术设计学院办公室,年,月,日","9,May",党政联席会纪要（2018.08）
,"9,Mar",艺术学院召开新学期第一次教职工大会
"为促进学生对服装与服饰设计专业的学习,了解中国传统服装与服饰的发展过程,服装与服饰设计,团支部于,月,日在博学楼,举办主题为,旧时风华韵,含香易自来,的服装饰品发展过程研讨交流会,交流会由团支部书记主持,团支部成员积极参与,良好的互动激发了大家的学习热情,浓厚的学习氛围也对传统文化的进一步发扬奠定了基础,本次与学科相关的研讨交流会的成功举办既扩展了团支部成员的学习视野,又提高了对传统服装的鉴赏能力,对把握服装与服饰发展方向,紧跟时代潮流具有重要意义","9,Mar",七个一活力团支部建设工程之服装与服饰设计1801团支部举办“...
"招聘岗位,排版设计人员,招聘人数,人,岗位要求,善于沟通,熟练运用方正,飞腾排版软件,工作职责,根据客户的要求熟练的完成报纸及书籍的排版工作,薪资待遇,试用期,元,试用期后底薪,元,提成,实行绩效工资制,签订劳动合同,缴纳五险一金,享受国家正常的节假日及福利,每年有暑假,寒假,工作班时,每天上午,下午,宿舍,公司免费提供住宿,培训,试用期提供专业培训,办公环境,办公环境轻松,主要的客户群体为高校老师,为员工提供安全,温馨,轻松的工作环境,奖励政策,每年度为业绩优秀的员工提供各项奖励或旅游拓展,奖励内容十分丰厚,发展空间,发展空间广阔,济南市青蓝文化传播有限公司,范晓红,电话,邮箱,山东省济南市历城区百花小区,邮编","9,Mar",济南市青蓝文化传播有限公司招聘排版设计人员
"为了进一步弘扬雷锋精神,山东女子学院文化艺术学院组织了主题为,学习雷锋,服务同学,美化校园,的活动,月,日下午文化艺术学院自发组织学生进行校园垃圾的清理和互帮互助行动,同学们在校园中将地上的烟头,塑料袋等垃圾进行了清理,使校园看起来更加整洁,同时,也有同学帮助校园的工作人员进行植树浇水等校园绿化工作,为美化校园贡献自己的一份力量,在宿舍楼里,也活跃着同学们忙碌的身影,帮助同学们将宿舍中的垃圾进行收集,将垃圾分门别类,此次活动是雷锋精神的又一传承,为我院学习雷锋系列活动奠定了基础,它将进一步唤起全院师生学习雷锋的热潮,使雷锋精神在我院师生中生根开花,结出硕果","9,Mar",学习雷锋 服务同学 美化校园
"山东广富集团有限公司位于山东省邹平县青阳镇青龙山工业园内,公司始建于,年,占地面积,万平方米,现有职工,余名,公司总资产达,亿元,招聘岗位,办公室文秘,招聘人数,人,岗位要求,善于沟通,熟练运用,等办公软件,有文艺特长,薪资待遇,女职工试用期工资,元,试用期,个月,合格后签订劳动合同,薪资在,元不等,工资按月发放,根据公司实际情况以及国家规定缴纳社会保险,进行相应的技术培训和指导,宿舍,公司免费提供住宿,山东广富集团,电话,邮箱,邮编","9,Mar",山东省广富集团有限公司招聘信息
"月,日,艺术学院,级视觉传达本科专业,班在一号教学楼,教室召开,勤俭节约,从我做起,主题班会,校纪委书记汪琦教授出席班会并讲话,艺术学院领导班子部分成员和全班同学参加并发言,辅导员,班主任主持班会,级视觉传达本科专业,班作为校领导的联系班级,汪书记一直很关心班级教育管理情况,多次与班主任,班干部座谈指导班级建设与发展,这次应邀参加主题班会,汪书记倾听同学们的发言和做法后,围绕养成教育,一是就勤俭节约作为中华民族的传统美德,要求当代大学生增强时代责任感,大力继承和发扬优良传统作风,二是勤俭节约也是加强党的建设的重要组成部分,十八大后,党和政府大力加强勤俭,廉洁教育,学校也制定了厉行节约的,八项规定,要求师生认真贯彻落实,三是勤俭节约要从自身做起,时刻想到国家,社会利益,养成勤俭节约的良好习惯,逐步成长为品格高尚的有用人才,四是希望同学们要爱校如家,关心学校建设与发展,积极建言献策,师生共建节约型校园,班会上,同学们畅所欲言,各抒己见,从生活中一滴水,一粒米,一张纸,一度电说起,表达了对勤俭节约的认识和做法,同学们聆听汪书记语重心长的讲话后,倍受教育和启发,纷纷表示要增强勤俭节约意识,从自我做起,厉行勤俭节约,积极建言献策,用智慧和行动为建设节约型校园贡献一份力量","9,Jun",艺术学院举办“勤俭节约，从我做起”主题班会
"月,日,艺术学院学生党支部在普教楼,会议室召开党员发展大会,学院党总支副书记,副院长王仕忠,学生党支部成员,部分教师党员和,名拟发展同学参加了会议,学生党支部书记赵晓琳主持了党员发展会,全体与会人员齐唱,国际歌,后,名拟发展同学宣读了,入党志愿书,汇报了对加入党组织的认识和决心,以及思想,学习,生活等表现情况,入党介绍教师分别汇报了各位同学的培养考察情况,并表达了个人意见和建议,组织委员许冰汇报了学生党支部对,名拟发展同学的审查情况和公示情况,提请与会党员讨论,与会党员分别对,名拟发展同学发表意见和建议,大会采取举手表决的民主方式,通过了接收唐瑛琳等,名同学为中共预备党员,宣传委员陈曦宣读了,关于接收唐瑛琳等二十位同志为中共预备党员的支部大会决议,党总支副书记王仕忠对党支部通过的,名拟发展同学集体谈话并提出了几点要求和希望,一是要关心时事,认真学习十八大精神,提高政治思想水平,二是要以学为本,成绩优秀,保持党员先进性,三是牢记党的服务宗旨,在班级建设发展中发挥模范带头作用,大会后,学生党支部将按照党员发展程序,及时向党总支汇报支部决议,经党总支和学校党委研究通过后,及时召开大会,组织新党员开展政治学习和活动,做好学生党员的日常教育和管理","9,Jun",艺术学院学生党支部召开党员发展大会
"月,日,届毕业生办理手续,收拾公寓物品,准备离别母校之际,学校党委副书记宿建沛与相关部门负责人到艺术学院团总支办公室和五号公寓看望送别艺术设计专业毕业生,在一号教学楼五楼大厅,宿书记详细询问了艺术学院,名毕业生的手续办理情况,并亲切问候毕业生的手续办理和就业情况,文明离校和夜间值班安排,以及对学生的教育与服务等,在毕业感言栏前,宿书记认真阅读了毕业生对母校,对老师,对同学,对今后人生发自肺腑的留言,深受感动和启发,在五号公寓,宿书记认真查看了艺术学院毕业生的退宿房间,并与毕业生们亲切交流,挥手送别祝愿等,宿书记与相关部门负责人代表学校深入艺术学院教学楼和公寓,看望送别毕业生,令毕业班辅导员,班主任毕业生们十分激动和鼓舞,毕业生们纷纷要求与宿书记和老师们合影留念,并表示一定会铭记学校领导,老师的嘱托和期望,感恩母校,扎实工作,早日做出优异成绩为母校增光添彩,回报母校,在学校领导和相关部门的关心支持下,艺术学院精心部署,合理安排,辅导员和班主任连续加班工作,截止,日,时,艺术学院,名毕业生带着深深的眷恋和祝福安全顺利文明离校,李霞","9,Jul",校领导宿书记到艺术学院看望送别毕业生
